{'filepath': 'C:\\Anathema\\LOTF2\\Content\\Characters\\PlayerMale\\LongSword\\Animations\\OneHanded_1H\\Combat\\Attacks\\MS2_LS1HAttackSet\\AS_LS1H_AttackRebound_Montage.uasset', 'status': 'modified'}
{'filepath': 'C:\\Anathema\\LOTF2\\Content\\Characters\\PlayerMale\\LongSword\\Animations\\OneHanded_1H\\Combat\\Block\\Montages\\AS_LS1H_BlockBreak_Montage.uasset', 'status': 'modified'}
{'filepath': 'C:\\Anathema\\LOTF2\\Content\\Characters\\PlayerMale\\LongSword\\Animations\\OneHanded_1H\\Combat\\Block\\Montages\\AS_LS1H_BlockImpactHeavy_Montage.uasset', 'status': 'modified'}
{'filepath': 'C:\\Anathema\\LOTF2\\Content\\Characters\\PlayerMale\\LongSword\\Animations\\OneHanded_1H\\Combat\\Block\\Montages\\AS_LS1H_BlockImpactMedium_Montage.uasset', 'status': 'modified'}
{'filepath': 'C:\\Anathema\\LOTF2\\Content\\Characters\\PlayerMale\\LongSword\\Animations\\OneHanded_1H\\Combat\\Block\\Montages\\AS_LS1H_BlockImpact_Montage.uasset', 'status': 'modified'}
{'filepath': 'C:\\Anathema\\LOTF2\\Content\\Characters\\PlayerMale\\LongSword\\Animations\\TwoHanded_2H\\Combat\\Block\\Montages\\AS_LS2H_AttackRebound_Montage.uasset', 'status': 'modified'}
{'filepath': 'C:\\Anathema\\LOTF2\\Content\\Characters\\PlayerMale\\LongSword\\Animations\\TwoHanded_2H\\Combat\\Block\\Montages\\AS_LS2H_BlockBreak_Montage.uasset', 'status': 'modified'}
{'filepath': 'C:\\Anathema\\LOTF2\\Content\\Characters\\PlayerMale\\LongSword\\Animations\\TwoHanded_2H\\Combat\\Block\\Montages\\AS_LS2H_BlockImpactHeavy_Montage.uasset', 'status': 'modified'}
{'filepath': 'C:\\Anathema\\LOTF2\\Content\\Characters\\PlayerMale\\LongSword\\Animations\\TwoHanded_2H\\Combat\\Block\\Montages\\AS_LS2H_BlockImpactMedium_Montage.uasset', 'status': 'modified'}
{'filepath': 'C:\\Anathema\\LOTF2\\Content\\Characters\\PlayerMale\\LongSword\\Animations\\TwoHanded_2H\\Combat\\Block\\Montages\\AS_LS2H_BlockImpact_Montage.uasset', 'status': 'modified'}
{'filepath': 'C:\\Anathema\\LOTF2\\Content\\Characters\\Enemies\\CQC\\Animations\\Combat\\Block\\Idle\\Montages\\AS_CQC_Block_Deflect_Montage.uasset', 'status': 'modified'}
{'filepath': 'C:\\Anathema\\LOTF2\\Content\\Characters\\Enemies\\CQC\\Animations\\Combat\\Block\\Idle\\Montages\\AS_CQC_Block_Impact_Montage.uasset', 'status': 'modified'}
